Name,Year,Region Code,Region Name,Unit,Factor
Post and telecommunication,2021,LT,Lithuania,kg/EUR,0.1179
Post and telecommunication,2021,LU,Luxembourg,kg/EUR,0.1759
Post and telecommunication,2021,LV,Latvia,kg/EUR,0.2136
Post and telecommunication,2021,MT,Malta,kg/EUR,0.175
Post and telecommunication,2021,MX,Mexico,kg/EUR,0.1332
Post and telecommunication,2021,NL,Netherlands,kg/EUR,0.0879
Post and telecommunication,2021,NO,Norway,kg/EUR,0.0673
Post and telecommunication,2021,PL,Poland,kg/EUR,0.4898
Post and telecommunication,2021,PT,Portugal,kg/EUR,0.0988
Post and telecommunication,2021,RO,Romania,kg/EUR,0.284
Post and telecommunication,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,0.2895
Post and telecommunication,2021,ROW_WE,East Europe and Iceland,kg/EUR,0.5408
Post and telecommunication,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,0.3314
Post and telecommunication,2021,ROW_WL,Latin America except Brazil,kg/EUR,0.185
Post and telecommunication,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,0.2336
Post and telecommunication,2021,RU,Russian Federation,kg/EUR,0.6678
Post and telecommunication,2021,SE,Sweden,kg/EUR,0.0672
Post and telecommunication,2021,SI,Slovenia,kg/EUR,0.1633
Post and telecommunication,2021,SK,Slovakia,kg/EUR,0.1255
Post and telecommunication,2021,TR,Turkey,kg/EUR,0.4132
Post and telecommunication,2021,TW,"Taiwan, Province of China",kg/EUR,0.1737
Post and telecommunication,2021,US,United States,kg/EUR,0.0578
Post and telecommunication,2021,ZA,South Africa,kg/EUR,0.4315
Construction work,2021,AT,Austria,kg/EUR,0.2678
Construction work,2021,AU,Australia,kg/EUR,0.4949
Construction work,2021,BE,Belgium,kg/EUR,0.3221
Construction work,2021,BG,Bulgaria,kg/EUR,1.021
Construction work,2021,BR,Brazil,kg/EUR,0.5169
Construction work,2021,CA,Canada,kg/EUR,0.2881
Construction work,2021,CH,Switzerland,kg/EUR,0.1779
Construction work,2021,CN,China,kg/EUR,1.6356
Construction work,2021,CY,Cyprus,kg/EUR,0.7368
Construction work,2021,CZ,Czech Republic,kg/EUR,0.397
Construction work,2021,DE,Germany,kg/EUR,0.4011
Construction work,2021,DK,Denmark,kg/EUR,0.2706
Construction work,2021,EE,Estonia,kg/EUR,0.6019
Construction work,2021,ES,Spain,kg/EUR,0.2483
Construction work,2021,FI,Finland,kg/EUR,0.3144
Construction work,2021,FR,France,kg/EUR,0.2332
Construction work,2021,GB,United Kingdom,kg/EUR,0.1673
Construction work,2021,GR,Greece,kg/EUR,0.7683
Construction work,2021,HR,Croatia,kg/EUR,0.5133
Construction work,2021,HU,Hungary,kg/EUR,0.4806
Construction work,2021,ID,Indonesia,kg/EUR,0.6291
Construction work,2021,IE,Ireland,kg/EUR,0.2758
Construction work,2021,IN,India,kg/EUR,1.3149
Construction work,2021,IT,Italy,kg/EUR,0.4258
Construction work,2021,JP,Japan,kg/EUR,0.4024
Construction work,2021,KR,"Korea, Republic of",kg/EUR,0.6796
Construction work,2021,LT,Lithuania,kg/EUR,0.3743
Construction work,2021,LU,Luxembourg,kg/EUR,0.1925
Construction work,2021,LV,Latvia,kg/EUR,0.6525
Construction work,2021,MT,Malta,kg/EUR,0.9514
Construction work,2021,MX,Mexico,kg/EUR,0.4571
Construction work,2021,NL,Netherlands,kg/EUR,0.3521
Construction work,2021,NO,Norway,kg/EUR,0.1897
